Date,Open_PT,Volume_PT,Open_TH,Volume_TH,COVID_ND,COVID_NC,COVID_TV
3/3/2020,108.360001,77500,124.5,2242300,3,51,620
3/4/2020,108.169998,90600,125.169998,2355900,4,70,891
3/5/2020,108.269997,113200,123.400002,4000300,3,78,1201
3/6/2020,103.599998,87800,139.029999,4198500,3,130,1521
3/9/2020,99.860001,148700,125.809998,2441500,4,390,2399
3/10/2020,101.919998,144500,137.509995,5538800,7,498,3469
3/11/2020,97.879997,111700,152.059998,6149800,12,530,4832
3/12/2020,90,177200,126.75,3990100,7,734,8872
3/13/2020,87.339996,150800,125.559998,5298400,11,951,11732
3/16/2020,81.75,228600,122.610001,4466200,21,2346,27298
3/17/2020,64.889999,451400,119.959999,5500500,27,3199,39808
3/18/2020,55.459999,374200,115.010002,5088700,64,4892,50388
3/19/2020,47.790001,262600,140.149994,4803100,69,6121,60566
3/20/2020,55.27,323900,140.479996,4097600,92,7547,76250
3/23/2020,54.41,193700,146.479996,5493000,161,10692,79822
3/24/2020,58.970001,421900,173.75,8011900,212,11402,104551
3/25/2020,65.889999,249600,159.309998,13377100,301,14083,114703
3/26/2020,64.230003,240500,148.009995,5849500,339,18538,129249
3/27/2020,67,287800,157.910004,3862300,485,20218,135816
3/30/2020,64.809998,156800,170.789993,3627200,626,15306,123480
3/31/2020,69.150002,246300,159.860001,3186600,990,23731,142265
4/1/2020,65.669998,358300,153.5,3191100,1123,28415,153123
4/2/2020,58.240002,213400,161.550003,2340000,1311,30014,161772
4/3/2020,59.48,135400,156.509995,1467400,1374,31742,169297
4/6/2020,59.259998,171100,150,2679400,1699,28644,143096
4/7/2020,65.080002,138900,143.880005,3680100,2100,29187,179974
4/8/2020,65.93,139400,141.634995,2822800,2244,34240,168326
4/9/2020,70.540001,89900,138.270004,2540300,2216,34840,174058
4/13/2020,71.720001,157400,150.050003,2279800,1895,24988,114191
4/14/2020,71.610001,91300,156.690002,2401600,2472,25080,162537
4/15/2020,71.970001,184300,160.889999,5345000,2703,25254,172381
4/16/2020,70,294000,166.5,3547400,2454,31681,184256
4/17/2020,71.169998,168500,166.996994,3244800,2322,30325,198585
4/20/2020,70,294700,171.690002,2848600,2056,26085,160472
4/21/2020,67.400002,184400,184.759995,3276300,2658,25234,221284
4/22/2020,68.290001,91700,174.259995,2116900,2251,31144,235903
4/23/2020,66.650002,145500,181,2442300,2002,32983,233347
4/24/2020,68.349998,194500,190.119995,2845900,2080,34903,259603
4/27/2020,69.129997,112500,196.029999,3635400,1513,24173,225884
4/28/2020,71.040001,136200,195.610001,5505100,2106,23593,269805
4/29/2020,74.019997,301600,175,3923700,2414,27034,294861
4/30/2020,72.120003,204100,166.649994,5573600,2227,31444,322632
5/1/2020,73.040001,156400,162.100006,2632600,1927,32141,336784
5/4/2020,66.769997,180500,170.710007,2724000,1242,21545,250946
5/5/2020,72.25,121300,176,2444600,2433,22869,319613
5/6/2020,71.160004,54600,171.179993,1916800,2335,25331,359894
5/7/2020,68.93,80500,177.669998,1631100,2098,29530,362882
5/8/2020,70.660004,175900,175,2209800,1603,28327,403883
5/11/2020,70.43,129900,178.600006,3259900,1067,19804,320143
5/12/2020,69.019997,183800,191.880005,2013100,1530,24196,422260
5/13/2020,68.699997,120200,189.580002,3377600,1504,17459,450639
5/14/2020,65.400002,139200,185.009995,5225700,1933,34449,450588
5/15/2020,68.559998,97800,176.899994,4279100,1542,26889,445918
5/18/2020,71.470001,114700,180.5,4100400,966,23122,353291
5/19/2020,73.550003,124400,175.800003,2534500,1184,21709,434280
5/20/2020,76.690002,168700,177.960007,2799100,1363,24030,463299
5/21/2020,80.029999,257100,172.300003,2328500,1091,25808,460106
